Date,NATURAL GAS,GOLD,WTI CRUDE,BRENT CRUDE,SOYBEANS,CORN,COPPER,SILVER,LOW SULPHUR GAS OIL,LIVE CATTLE,SOYBEAN OIL,ALUMINIUM,SOYBEAN MEAL,ZINC,ULS DIESEL,NICKEL,GASOLINE,COFFEE,LEAN HOGS,HRW WHEAT,COTTON
2020-01-02,2.122,1528.1,61.18,66.25,944.25,391.5,2.825,18.046,615.5,125.775,34.97,1781.5,300.6,2323.75,202.41,14207.0,170.42,127.1,71.55,485.25,69.27
2020-01-03,2.13,1552.4,63.05,68.6,930.5,386.5,2.787,18.151,625.5,124.725,34.81,1798.75,296.1,2321.0,206.14,13695.0,174.88,126.35,68.55,475.0,69.2
2020-01-06,2.135,1568.8,63.27,68.91,932.75,384.75,2.79,18.179,620.0,127.275,34.24,1805.5,297.7,2334.5,203.39,13756.5,175.44,122.15,68.625,477.25,70.04
2020-01-07,2.162,1574.3,62.7,68.27,935.0,384.5,2.7935,18.393,616.75,126.525,34.46,1788.5,296.4,2362.0,203.24,13866.0,172.22,122.4,69.225,475.0,69.83
2020-01-08,2.141,1560.2,59.61,65.44,938.25,384.25,2.812,18.167,606.25,126.35,34.27,1771.0,296.9,2418.5,195.82,13974.0,164.88,119.15,69.025,480.0,69.96
2020-01-09,2.166,1554.3,59.56,65.37,933.75,383.25,2.802,17.936,593.25,126.725,34.35,1776.0,296.2,2385.75,195.01,14010.0,165.27,117.35,67.025,490.25,70.69
2020-01-10,2.202,1560.1,59.04,64.98,935.0,385.75,2.8135,18.105,593.25,127.425,34.07,1781.25,298.7,2387.5,192.84,14117.0,165.96,118.95,67.25,494.75,71.31
2020-01-13,2.182,1550.6,58.08,64.2,929.25,389.5,2.861,17.996,577.0,126.55,33.64,1775.0,299.0,2389.75,189.8,14007.5,165.73,114.55,65.9,492.75,71.53
2020-01-14,2.187,1544.6,58.23,64.49,928.5,389.0,2.8735,17.742,579.5,126.85,33.65,1792.25,297.2,2380.0,191.03,13820.0,165.44,114.9,67.675,497.0,71.38
2020-01-15,2.12,1554.0,57.81,64.0,928.75,387.5,2.866,17.988,575.75,126.6,33.3,1784.0,300.1,2393.75,187.79,14274.0,163.68,114.3,67.875,496.5,70.32
2020-01-16,2.077,1550.5,58.52,64.62,924.0,375.5,2.847,17.939,576.0,126.125,33.03,1797.5,300.6,2434.75,186.0,13731.0,165.48,112.95,66.875,484.75,70.22
2020-01-17,2.003,1560.3,58.54,64.85,929.75,389.25,2.8455,18.073,568.75,126.35,33.35,1790.75,300.6,2442.75,185.92,13867.0,164.06,112.15,67.675,494.25,71.25
2020-01-20,2.003,1560.3,58.54,65.2,929.75,389.25,2.8455,18.073,576.75,126.35,33.35,1799.0,300.6,2458.25,185.92,13970.5,164.06,112.15,67.675,494.25,71.25
